Model,AUC,Accuracy,MCC,PR-AUC
xgboost,0.8522297335856658,0.836,0.5024825190770241,0.6861108580673515
lightgbm,0.8537412605209214,0.815,0.4958791334096556,0.6968519760175304
catboost,0.8579735359396377,0.831,0.5048061569121989,0.7034005829166655
